P,B-MISC,45939
CT,B-MISC,45940
CT,B-MISC,45941
P,B-MISC,45942
CT,B-MISC,45943
##ine,I-MISC,45944
G,B-MISC,45945
##re,I-MISC,45946
##ch,I-MISC,45947
P,B-PER,45948
##yle,I-MISC,45949
Dutch,B-MISC,45950
Caucasian,I-MISC,45951
G,B-MISC,45952
##re,I-MISC,45953
##ch,I-MISC,45954
P,B-PER,45955
##yle,I-MISC,45956
G,B-MISC,45957
##re,I-MISC,45958
##ch,I-MISC,45959
P,B-PER,45960
##yle,I-MISC,45961
Dutch,B-MISC,45962
Caucasian,I-MISC,45963
CS,B-MISC,45964
Parkinson,B-MISC,45965
PD,B-MISC,45966
PD,B-MISC,45967
D,B-MISC,45968
SC,B-MISC,45969
AD,B-MISC,45970
T,B-MISC,45971
T,B-MISC,45972
T,B-MISC,45973
CD,B-MISC,45974
E,B-MISC,45975
##con,I-MISC,45976
##oli,I-MISC,45977
##th,I-MISC,45978
2000,I-MISC,45979
ER,B-MISC,45980
EU,B-ORG,45981
##S,I-ORG,45982
MR,B-MISC,45983
EU,B-ORG,45984
##S,I-ORG,45985
ER,B-MISC,45986
MR,B-MISC,45987
EU,B-ORG,45988
##S,I-ORG,45989
ER,B-MISC,45990
##CP,I-MISC,45991
M,B-ORG,45992
##OC,B-ORG,45993
##A,I-ORG,45994
H,B-ORG,45995
##AD,I-ORG,45996
##S,I-ORG,45997
Her,B-MISC,45998
##men,B-MISC,45999
##eu,I-MISC,46000
Bulgarian,B-MISC,46001
AM,B-MISC,46002
C,I-MISC,46003
AM,B-MISC,46004
Pro,B-MISC,46005
##state,I-MISC,46006
Cancer,I-MISC,46007
Be,I-MISC,46008
##am,I-MISC,46009
Ra,I-MISC,46010
##diation,I-MISC,46011
Therapy,I-MISC,46012
E,B-MISC,46013
SM,B-MISC,46014
C,B-ORG,46015
##IS,B-ORG,46016
##C,I-ORG,46017
C,B-MISC,46018
A,B-ORG,46019
ET,B-MISC,46020
PD,B-MISC,46021
D,B-MISC,46022
PD,B-MISC,46023
D,B-MISC,46024
E,B-MISC,46025
E,B-MISC,46026
E,B-MISC,46027
G,B-MISC,46028
New,B-LOC,46029
South,I-LOC,46030
Wales,I-LOC,46031
ST,B-MISC,46032
ST,B-MISC,46033
ST,B-MISC,46034
New,B-LOC,46035
South,I-LOC,46036
Wales,I-LOC,46037
European,B-MISC,46038
North,B-MISC,46039
European,I-MISC,46040
European,B-MISC,46041
OS,B-MISC,46042
CA,B-ORG,46043
##B,I-ORG,46044
I,B-MISC,46045
AD,B-MISC,46046
##HD,I-MISC,46047
I,B-MISC,46048
AD,B-MISC,46049
##HD,I-MISC,46050
AD,B-MISC,46051
##HD,I-MISC,46052
I,B-MISC,46053
AD,B-MISC,46054
##HD,I-MISC,46055
I,B-MISC,46056
I,B-MISC,46057
O,B-MISC,46058
O,B-MISC,46059
C,B-ORG,46060
##VR,I-ORG,46061
I,I-MISC,46062
PS,B-MISC,46063
A,B-ORG,46064
A,B-ORG,46065
Do,I-MISC,46066
T,B-MISC,46067
T,B-ORG,46068
##CD,I-ORG,46069
