I,B-MISC,0
F,B-MISC,1
I,B-MISC,2
La,B-MISC,3
##os,I-MISC,4
RF,B-ORG,5
##A,I-ORG,6
H,B-ORG,7
&,I-ORG,8
E,I-ORG,9
N,B-MISC,10
RF,B-ORG,11
##A,I-ORG,12
N,B-MISC,13
HIV,B-MISC,14
Southern,B-MISC,15
Africans,I-MISC,16
T,B-MISC,17
International,B-MISC,18
T,I-MISC,19
HIV,B-MISC,20
T,B-MISC,21
T,B-MISC,22
MR,B-MISC,23
MR,B-MISC,24
AC,B-MISC,25
L,B-MISC,26
##ym,I-MISC,27
1,I-MISC,28
non,B-MISC,29
Ho,B-PER,30
##d,I-MISC,31
##g,B-PER,32
##kin,B-PER,33
NHL,B-MISC,34
V,B-LOC,35
##od,I-MISC,36
V,B-LOC,37
##ater,I-LOC,38
T,B-MISC,39
SA,B-ORG,40
Zoo,B-PER,41
Zoo,B-PER,42
Internet,B-MISC,43
Internet,B-MISC,44
NHS,B-ORG,45
##net,I-ORG,46
PR,B-MISC,47
##P,I-MISC,48
##F,I-MISC,49
R,B-MISC,50
##P,I-MISC,51
##11,I-MISC,52
PR,B-MISC,53
##P,I-MISC,54
##F,I-MISC,55
PR,B-MISC,56
##P,I-MISC,57
##F,I-MISC,58
I,B-MISC,59
##BS,I-MISC,60
I,B-MISC,61
##BS,I-MISC,62
I,B-MISC,63
##BS,I-MISC,64
Ka,B-MISC,65
E,B-ORG,66
The,B-LOC,67
Netherlands,I-LOC,68
PT,B-MISC,69
PT,B-MISC,70
PT,B-MISC,71
E,B-MISC,72
E,B-MISC,73
St,B-MISC,74
##oc,I-MISC,75
##oc,I-MISC,76
Department,B-ORG,77
for,I-ORG,78
Thor,I-ORG,79
##ac,I-ORG,80
##ic,I-ORG,81
and,I-ORG,82
Card,I-ORG,83
##iovascular,I-ORG,84
Surgery,I-ORG,85
S,B-MISC,86
S,B-MISC,87
L,B-MISC,88
MD,B-MISC,89
##S,I-MISC,90
NH,B-MISC,91
NH,B-MISC,92
NH,B-MISC,93
Washington,B-LOC,94
Washington,B-LOC,95
State,I-LOC,96
E,B-ORG,97
AAA,B-MISC,98
EC,B-MISC,99
##G,I-MISC,100
Food,B-ORG,101
and,I-ORG,102
Drug,I-ORG,103
Administration,I-ORG,104
United,B-LOC,105
States,I-LOC,106
ST,B-MISC,107
##D,I-MISC,108
AIDS,I-MISC,109
ST,B-MISC,110
AIDS,I-MISC,111
A,B-MISC,112
##ED,I-MISC,113
A,B-MISC,114
##ED,I-MISC,115
E,B-ORG,116
##D,I-ORG,117
E,B-ORG,118
##D,I-ORG,119
AP,B-ORG,120
Fe,B-MISC,121
F,B-ORG,122
S,B-MISC,123
S,B-MISC,124
I,B-MISC,125
S,B-MISC,126
S,B-MISC,127
S,B-MISC,128
S,B-MISC,129
UK,B-LOC,130
UK,B-LOC,131
M,B-MISC,132
NHS,B-ORG,133
CO,B-MISC,134
AM,B-ORG,135
B,B-PER,136
##ur,B-PER,137
##ki,B-PER,138
He,B-PER,139
NHL,B-MISC,140
NHL,B-ORG,141
H,B-PER,142
B,B-MISC,143
Caesar,B-MISC,144
##ean,I-MISC,145
ST,B-ORG,146
SC,B-ORG,147
SC,B-MISC,148
G,B-MISC,149
##QL,I-MISC,150
G,B-MISC,151
##H,I-MISC,152
##QL,I-MISC,153
E,B-MISC,154
F,B-MISC,155
E,B-ORG,156
##GC,I-ORG,157
T,B-MISC,158
T,B-MISC,159
T,B-MISC,160
Catalonia,B-MISC,161
##n,I-MISC,162
CE,B-MISC,163
Mo,B-MISC,164
##lar,I-MISC,165
Inc,I-MISC,166
H,I-MISC,167
MI,B-MISC,168
SS,B-MISC,169
My,B-MISC,170
##co,B-MISC,171
##p,I-MISC,172
D,B-MISC,173
D,B-MISC,174
M,B-MISC,175
T,B-MISC,176
N,B-MISC,177
United,B-LOC,178
States,I-LOC,179
Japan,B-LOC,180
US,B-LOC,181
Japan,B-LOC,182
US,B-LOC,183
Japan,B-LOC,184
IS,B-ORG,185
##A,I-ORG,186
Galen,B-PER,187
AS,B-ORG,188
##A,I-ORG,189
D,B-MISC,190
##MA,I-MISC,191
T,B-MISC,192
RA,B-MISC,193
E,I-MISC,194
E,I-MISC,195
Tri,B-MISC,196
##chin,I-MISC,197
SD,B-ORG,198
Tri,B-MISC,199
##chin,I-MISC,200
National,B-ORG,201
Cancer,I-ORG,202
Institute,I-ORG,203
Pro,B-MISC,204
##state,I-MISC,205
Cancer,I-MISC,206
SP,I-MISC,207
##OR,I-MISC,208
##E,I-MISC,209
Program,I-MISC,210
AD,B-MISC,211
##HD,I-MISC,212
PD,B-MISC,213
##D,I-MISC,214
AD,B-MISC,215
##HD,I-MISC,216
